Symbol,Signal Date,Entry Date,Entry Price,Exit Date,Exit Price,Exit Reason,Return %,Equity at Entry,Shares,PnL,Return on position %
AAVAS.NS,2025-09-22,2025-09-23,1679.3,2025-09-24,1648.6,RSI cross down,-1.83,569227.3723,33,-1013.1,-1.83
ABCAPITAL.NS,2025-09-23,2025-09-24,291.45,2025-09-26,287.2,RSI cross down,-1.46,568214.2723000001,194,-824.5,-1.46
AAATECH.NS,2025-10-01,2025-10-03,89.0,2025-10-15,86.87,CE SELL,-2.39,567389.7723000001,637,-1356.81,-2.39
ABCAPITAL.NS,2025-10-01,2025-10-03,300.6,2025-10-09,296.9,RSI cross down,-1.23,566032.9623000001,188,-695.6,-1.23
AAVAS.NS,2025-10-03,2025-10-06,1662.0,2025-10-10,1624.3,RSI cross down,-2.27,565337.3623000002,34,-1281.8,-2.27
ABDL.NS,2025-10-03,2025-10-06,558.0,2025-10-14,530.0,RSI cross down,-5.02,564055.5623000001,101,-2828.0,-5.02
ABMINTLLTD.NS,2025-10-07,2025-10-08,49.8,2025-11-10,46.36,CE SELL,-6.91,561227.5623000001,1126,-3873.44,-6.91
ABCAPITAL.NS,2025-10-13,2025-10-14,300.45,2025-10-15,298.0,RSI cross down,-0.82,557354.1223000002,185,-453.25,-0.82
AARTIDRUGS.NS,2025-10-15,2025-10-16,508.95,2025-10-24,507.75,RSI cross down,-0.24,556900.8723000002,109,-130.8,-0.24
ABDL.NS,2025-10-17,2025-10-20,554.15,2025-11-12,620.8,RSI cross down,12.03,556770.0723000001,100,6665.0,12.03
ABCAPITAL.NS,2025-10-20,2025-10-21,306.2,2025-11-24,325.65,RSI cross down,6.35,563435.0723000001,184,3578.8,6.35
AAVAS.NS,2025-10-23,2025-10-24,1670.8,2025-11-06,1640.0,RSI cross down,-1.84,567013.8723000002,33,-1016.4,-1.84
AARON.NS,2025-10-27,2025-10-28,208.45,2025-11-06,196.65,RSI cross down,-5.66,565997.4723000001,271,-3197.8,-5.66
ABREL.NS,2025-10-27,2025-10-28,1755.2,2025-10-29,1695.0,RSI cross down,-3.43,562799.6723000001,32,-1926.4,-3.43
AARTISURF.NS,2025-10-30,2025-10-31,475.75,2025-11-06,462.4,RSI cross down,-2.81,560873.2723000001,117,-1561.95,-2.81
3MINDIA.NS,2025-11-03,2025-11-04,33060.0,2025-12-08,34130.0,CE SELL,3.24,559311.3223000001,1,1070.0,3.24
