Symbol,Signal Date,Entry Date,Entry Price,Exit Date,Exit Price,Exit Reason,Return %,Equity at Entry,Shares,PnL,Return on position %
3MINDIA.NS,2025-10-28,2025-10-29,29590.0,2025-10-31,29705.0,RSI cross up,-0.39,485253.5491999997,1,-115.0,-0.39
360ONE.NS,2025-10-31,2025-11-03,1088.7,2025-11-20,1128.9,RSI cross up,-3.69,485138.5491999997,44,-1768.8,-3.69
AARVI.NS,2025-10-31,2025-11-03,120.29,2025-11-12,121.0,RSI cross up,-0.59,483369.74919999973,401,-284.71,-0.59
AARTECH.NS,2025-11-03,2025-11-04,55.52,2025-12-26,50.82,RSI cross up,8.47,483085.0391999997,870,4089.0,8.47
ABB.NS,2025-11-07,2025-11-10,4964.0,2025-11-19,5081.5,RSI cross up,-2.37,487174.0391999997,9,-1057.5,-2.37
ABMINTLLTD.NS,2025-11-10,2025-11-11,48.69,2025-11-12,49.01,RSI cross up,-0.66,486116.5391999997,998,-319.36,-0.66
AARTIPHARM.NS,2025-11-10,2025-11-11,759.05,2025-12-16,757.3,CE BUY,0.23,485797.1791999997,64,112.0,0.23
AAATECH.NS,2025-11-11,2025-11-12,88.03,2025-11-14,89.77,RSI cross up,-1.98,485909.1791999997,551,-958.74,-1.98
AARTIDRUGS.NS,2025-11-11,2025-11-12,480.2,2025-12-26,420.05,CE BUY,12.53,484950.43919999973,100,6015.0,12.53
AAVAS.NS,2025-11-11,2025-11-12,1645.0,2025-11-13,1704.0,RSI cross up,-3.59,490965.43919999973,29,-1711.0,-3.59
AARON.NS,2025-11-12,2025-11-13,197.2,2026-02-20,169.85,RSI cross up,13.87,489254.43919999973,248,6782.8,13.87
ABMINTLLTD.NS,2025-11-13,2025-11-14,44.71,2025-11-19,48.95,RSI cross up,-9.48,496037.2391999997,1109,-4702.16,-9.48
AARTISURF.NS,2025-11-14,2025-11-17,463.0,2026-01-21,479.0,RSI cross up,-3.46,491335.07919999975,106,-1696.0,-3.46
AAREYDRUGS.NS,2025-11-21,2025-11-24,88.1,2026-01-30,69.77,CE BUY,20.81,489639.07919999975,555,10173.15,20.81
AAATECH.NS,2025-11-21,2025-11-24,89.65,2025-11-26,89.6,RSI cross up,0.06,499812.22919999977,557,27.85,0.06
ABB.NS,2025-11-24,2025-11-25,5042.5,2025-11-26,5070.5,RSI cross up,-0.56,499840.0791999998,9,-252.0,-0.56
ABREL.NS,2025-11-24,2025-11-25,1715.8,2025-11-26,1735.0,RSI cross up,-1.12,499588.0791999998,29,-556.8,-1.12
AARTIIND.NS,2025-11-24,2025-11-25,380.7,2025-11-28,383.0,RSI cross up,-0.6,499031.2791999998,131,-301.3,-0.6
AAVAS.NS,2025-11-25,2025-11-26,1631.6,2026-01-27,1474.9,RSI cross up,9.6,498729.9791999998,30,4701.0,9.6
ABMINTLLTD.NS,2025-11-27,2025-11-28,46.89,2026-02-04,35.68,RSI cross up,23.91,503430.9791999998,1073,12028.33,23.91
ABBOTINDIA.NS,2025-11-27,2025-11-28,29440.0,2025-12-01,30200.0,RSI cross up,-2.58,515459.30919999984,1,-760.0,-2.58
ABDL.NS,2025-12-01,2025-12-02,622.0,2026-02-03,505.0,CE BUY,18.81,514699.3091999998,82,9594.0,18.81
AARTIIND.NS,2025-12-02,2025-12-03,377.5,2025-12-16,374.0,RSI cross up,0.93,524293.3091999998,138,483.0,0.93
AARVI.NS,2025-12-03,2025-12-04,126.5,2025-12-23,128.81,RSI cross up,-1.83,524776.3091999998,414,-956.34,-1.83
63MOONS.NS,2025-12-05,2025-12-08,812.0,2026-02-10,714.7,RSI cross up,11.98,523819.96919999976,64,6227.2,11.98
ABREL.NS,2025-12-08,2025-12-09,1659.9,2025-12-16,1701.1,RSI cross up,-2.48,530047.1691999998,31,-1277.2,-2.48
5PAISA.NS,2025-12-08,2025-12-09,299.65,2025-12-16,318.0,RSI cross up,-6.12,528769.9691999998,176,-3229.6,-6.12
360ONE.NS,2025-12-17,2025-12-18,1137.2,2025-12-19,1142.0,RSI cross up,-0.42,525540.3691999998,46,-220.8,-0.42
AARTIIND.NS,2025-12-17,2025-12-18,366.0,2025-12-22,370.2,RSI cross up,-1.15,525319.5691999998,143,-600.6,-1.15
5PAISA.NS,2025-12-17,2025-12-18,307.6,2025-12-22,310.8,RSI cross up,-1.04,524718.9691999998,170,-544.0,-1.04
ABREL.NS,2025-12-24,2025-12-26,1704.5,2026-01-06,1702.0,RSI cross up,0.15,524174.9691999998,30,75.0,0.15
ABBOTINDIA.NS,2025-12-30,2025-12-31,28820.0,2026-01-01,28860.0,RSI cross up,-0.14,524249.9691999998,1,-40.0,-0.14
ABB.NS,2026-01-08,2026-01-09,5050.0,2026-01-12,5075.0,RSI cross up,-0.5,524209.9691999998,10,-250.0,-0.5
20MICRONS.NS,2026-01-09,2026-01-12,194.94,2026-02-10,183.87,RSI cross up,5.68,523959.9691999998,268,2966.76,5.68
AARTIIND.NS,2026-01-09,2026-01-12,361.65,2026-02-02,366.0,RSI cross up,-1.2,526926.7291999998,145,-630.75,-1.2
21STCENMGM.NS,2026-01-14,2026-01-16,43.76,2026-02-09,41.11,CE BUY,6.06,526295.9791999998,1202,3185.3,6.06
ABFRL.NS,2026-01-16,2026-01-19,71.0,2026-02-05,69.5,RSI cross up,2.11,529481.2791999999,745,1117.5,2.11
3MINDIA.NS,2026-01-16,2026-01-19,34850.0,2026-02-05,35765.0,RSI cross up,-2.63,530598.7791999999,1,-915.0,-2.63
AARTECH.NS,2026-01-20,2026-01-21,49.1,2026-02-10,50.45,RSI cross up,-2.75,529683.7791999999,1078,-1455.3,-2.75
5PAISA.NS,2026-01-23,2026-01-27,340.55,2026-01-28,343.4,RSI cross up,-0.84,528228.4791999998,155,-441.75,-0.84
AAATECH.NS,2026-01-23,2026-01-27,103.5,2026-02-12,107.49,RSI cross up,-3.86,527786.7291999998,509,-2030.91,-3.86
AADHARHFC.NS,2026-02-02,2026-02-03,485.0,2026-02-27,475.05,CE BUY,2.05,525755.8191999998,108,1074.6,2.05
5PAISA.NS,2026-02-02,2026-02-03,339.8,2026-02-05,338.1,RSI cross up,0.5,526830.4191999998,155,263.5,0.5
360ONE.NS,2026-02-05,2026-02-06,1132.0,2026-02-11,1163.1,RSI cross up,-2.75,527093.9191999998,46,-1430.6,-2.75
5PAISA.NS,2026-02-11,2026-02-12,333.0,2026-04-08,304.2,CE BUY,8.65,525663.3191999998,157,4521.6,8.65
A2ZINFRA.NS,2026-02-13,2026-02-16,15.25,2026-02-17,14.89,RSI cross up,2.36,530184.9191999998,3476,1251.36,2.36
AARTECH.NS,2026-02-13,2026-02-16,48.3,2026-03-19,46.79,RSI cross up,3.13,531436.2791999998,1100,1661.0,3.13
AAREYDRUGS.NS,2026-02-13,2026-02-16,66.65,2026-02-19,71.0,RSI cross up,-6.53,533097.2791999998,799,-3475.65,-6.53
